Record Length,Analog:10000
Sample Interval,2.000000E-07
Vertical Units,V,
Vertical Scale,+1.000000E+00
Vertical Offset,-3.000000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-04
Model,SDS2104X Plus
Serial Number,SDS2PEEX7R1357
Software Version,5.4.0.1.6.2R5
Source,CH1
Second,Value
-2.0000000000E-04,-2.384186E-07
-1.9980000000E-04,+8.333206E-03
-1.9960000000E-04,-2.384186E-07
-1.9940000000E-04,-2.384186E-07
-1.9920000000E-04,-2.384186E-07
-1.9900000000E-04,+8.333206E-03
-1.9880000000E-04,-2.384186E-07
-1.9860000000E-04,-2.384186E-07
-1.9840000000E-04,+8.333206E-03
-1.9820000000E-04,-2.384186E-07
-1.9800000000E-04,+8.333206E-03
-1.9780000000E-04,-2.384186E-07
-1.9760000000E-04,+8.333206E-03
-1.9740000000E-04,-2.384186E-07
-1.9720000000E-04,-2.384186E-07
-1.9700000000E-04,-2.384186E-07
-1.9680000000E-04,-2.384186E-07
-1.9660000000E-04,-2.384186E-07
-1.9640000000E-04,-2.384186E-07
-1.9620000000E-04,+8.333206E-03
-1.9600000000E-04,+1.666641E-02
-1.9580000000E-04,-2.384186E-07
-1.9560000000E-04,-2.384186E-07
-1.9540000000E-04,-2.384186E-07
-1.9520000000E-04,-2.384186E-07
-1.9500000000E-04,+8.333206E-03
-1.9480000000E-04,-2.384186E-07
-1.9460000000E-04,-2.384186E-07
-1.9440000000E-04,+8.333206E-03
-1.9420000000E-04,-2.384186E-07
-1.9400000000E-04,-2.384186E-07
-1.9380000000E-04,-2.384186E-07
-1.9360000000E-04,+1.666641E-02
-1.9340000000E-04,+8.333206E-03
-1.9320000000E-04,-2.384186E-07
-1.9300000000E-04,-2.384186E-07
-1.9280000000E-04,-2.384186E-07
-1.9260000000E-04,-2.384186E-07
-1.9240000000E-04,-2.384186E-07
-1.9220000000E-04,-2.384186E-07
-1.9200000000E-04,-2.384186E-07
-1.9180000000E-04,+8.333206E-03
-1.9160000000E-04,-2.384186E-07
-1.9140000000E-04,+8.333206E-03
-1.9120000000E-04,+8.333206E-03
-1.9100000000E-04,+8.333206E-03
-1.9080000000E-04,-2.384186E-07
-1.9060000000E-04,-2.384186E-07
-1.9040000000E-04,-2.384186E-07
-1.9020000000E-04,-2.384186E-07
-1.9000000000E-04,-2.384186E-07
-1.8980000000E-04,+8.333206E-03
-1.8960000000E-04,-2.384186E-07
-1.8940000000E-04,-2.384186E-07
-1.8920000000E-04,-2.384186E-07
-1.8900000000E-04,-2.384186E-07
-1.8880000000E-04,-2.384186E-07
-1.8860000000E-04,-2.384186E-07
-1.8840000000E-04,+8.333206E-03
-1.8820000000E-04,+8.333206E-03
-1.8800000000E-04,-2.384186E-07
-1.8780000000E-04,-2.384186E-07
-1.8760000000E-04,-2.384186E-07
-1.8740000000E-04,-2.384186E-07
-1.8720000000E-04,-2.384186E-07
-1.8700000000E-04,+1.666641E-02
-1.8680000000E-04,-2.384186E-07
-1.8660000000E-04,+8.333206E-03
-1.8640000000E-04,-2.384186E-07
-1.8620000000E-04,+8.333206E-03
-1.8600000000E-04,-2.384186E-07
-1.8580000000E-04,-2.384186E-07
-1.8560000000E-04,-2.384186E-07
-1.8540000000E-04,-2.384186E-07
-1.8520000000E-04,+8.333206E-03
-1.8500000000E-04,-2.384186E-07
-1.8480000000E-04,+1.666641E-02
-1.8460000000E-04,+8.333206E-03
-1.8440000000E-04,-2.384186E-07
-1.8420000000E-04,-2.384186E-07
-1.8400000000E-04,+8.333206E-03
-1.8380000000E-04,-2.384186E-07
-1.8360000000E-04,-2.384186E-07
-1.8340000000E-04,-2.384186E-07
-1.8320000000E-04,-2.384186E-07
-1.8300000000E-04,+8.333206E-03
-1.8280000000E-04,-2.384186E-07
-1.8260000000E-04,-2.384186E-07
-1.8240000000E-04,+8.333206E-03
-1.8220000000E-04,-2.384186E-07
-1.8200000000E-04,-2.384186E-07
-1.8180000000E-04,-2.384186E-07
-1.8160000000E-04,-2.384186E-07
-1.8140000000E-04,-2.384186E-07
-1.8120000000E-04,+8.333206E-03
-1.8100000000E-04,+8.333206E-03
-1.8080000000E-04,-2.384186E-07
-1.8060000000E-04,-2.384186E-07
-1.8040000000E-04,-2.384186E-07
-1.8020000000E-04,-2.384186E-07
-1.8000000000E-04,+8.333206E-03
-1.7980000000E-04,-2.384186E-07
-1.7960000000E-04,-2.384186E-07
-1.7940000000E-04,-2.384186E-07
-1.7920000000E-04,-2.384186E-07
-1.7900000000E-04,-2.384186E-07
-1.7880000000E-04,-2.384186E-07
-1.7860000000E-04,-2.384186E-07
-1.7840000000E-04,-2.384186E-07
-1.7820000000E-04,+8.333206E-03
-1.7800000000E-04,+8.333206E-03
-1.7780000000E-04,-2.384186E-07
-1.7760000000E-04,-2.384186E-07
-1.7740000000E-04,+8.333206E-03
-1.7720000000E-04,+8.333206E-03
-1.7700000000E-04,+1.666641E-02
-1.7680000000E-04,-2.384186E-07
-1.7660000000E-04,-2.384186E-07
-1.7640000000E-04,-2.384186E-07
